iso_code,country_wb,population_density,health_expenditure_per_capita,health_expenditure_pct_gdp
UZB,Uzbekistan,77.7112512566577,156.44789124,6.92742586
VCT,St. Vincent and the Grenadines,263.694871794872,454.784729,5.26607132
VEN,"Venezuela, RB",32.0138608922397,162.43952942,4.1022191
VGB,British Virgin Islands,252.06,,
VIR,Virgin Islands (U.S.),302.485714285714,,
VNM,Viet Nam,315.653937574379,168.09350586,4.53792429
VUT,Vanuatu,25.0917145200984,142.56698608,4.58828115
WLD,World,61.0288760939611,1257.47391628473,10.2589567439461
WSM,Samoa,76.8989208633094,285.65393066,7.19651461
XKX,Kosovo,,,
YEM,"Yemen, Rep.",70.3453415913783,49.30105209,9.44125366
ZAF,South Africa,50.6991261983859,592.9465332,8.6645031
ZMB,Zambia,26.3705551594721,74.83802795,6.63951397
ZWE,Zimbabwe,40.8354917926845,60.89874268,2.67111874
