country,code,continent,population,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,diabetes_prevalence
Benin,BEN,Africa,13759507.0,28036.0,2037.573,163.0,11.8463545,26.870075,19.934122,0.0,32.174443430656936,17.645999908447266,3901.325927734375,0.4300000071525574,60.47510147094727,8.100000381469727
Bermuda,BMU,North America,64772.0,18860.0,291175.2,165.0,2547.397,74.9614,73.576546,55.318657,39.402545620437955,44.70299911499024,109311.9375,,82.06159973144531,13.399999618530272
Bhutan,BTN,Asia,780921.0,62954.0,80615.07,21.0,26.891325,89.52455,86.778175,81.26827,50.683649635036495,28.809999465942383,14610.2958984375,2.1600000858306885,72.75399780273438,12.0
Bolivia,BOL,South America,12077156.0,1212185.0,100370.07,22389.0,1853.8304,60.949844,51.01023,17.947844,42.292919708029196,24.392000198364254,11329.1513671875,1.4900000095367432,67.43419647216797,3.400000095367432
Bonaire Sint Eustatius and Saba,BES,North America,28654.0,11922.0,416067.56,41.0,1430.8647,66.68877,58.407204,,,39.77299880981445,,,78.15450286865234,
Bosnia and Herzegovina,BIH,Europe,3204802.0,404289.0,126151.01,16419.0,5123.2495,29.43689,26.400383,3.7609189,38.6827098540146,44.55899810791016,20527.693359375,2.3499999046325684,76.7771987915039,10.300000190734863
Botswana,BWA,Africa,2439895.0,330699.0,135538.2,2801.0,1148.0002,79.96467,68.17876,20.935696,36.4909306569343,22.60400009155273,18068.505859375,2.359999895095825,68.74870300292969,4.599999904632568
Brazil,BRA,South America,210306411.0,38024465.0,180805.06,703961.0,3347.3113,90.17482,83.76549,60.097355,48.54258211678832,33.50600051879883,19652.365234375,2.5199999809265137,74.87190246582031,10.600000381469728
British Virgin Islands,VGB,North America,38346.0,7661.0,199786.16,64.0,1669.0137,50.764095,47.621655,9.716789,,37.119998931884766,,,77.177001953125,
Brunei,BRN,Asia,455374.0,350550.0,769806.8,182.0,399.67148,99.07219,98.09827,74.766235,39.496021897810216,31.275999069213867,79071.734375,3.5799999237060547,72.91709899902344,13.699999809265137
